../../misc_phd/input/lcs_instances/10-random-0-1-0.lcs,10,,,ave,stdev,stderr,conf,1.196
../../misc_phd/input/lcs_instances/10-random-0-1-54.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-55.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-56.lcs,5,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-57.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-58.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-59.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-60.lcs,2,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-61.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-62.lcs,27,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-63.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-64.lcs,6,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-65.lcs,4,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-66.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-67.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-68.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-69.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-70.lcs,16,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-71.lcs,12,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-72.lcs,21,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-73.lcs,17,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-74.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-75.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-76.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-77.lcs,9,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-78.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-79.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-80.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-81.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-82.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-83.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-84.lcs,12,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-85.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-86.lcs,30,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-87.lcs,8,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-88.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-89.lcs,19,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-90.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-91.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-92.lcs,8,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-93.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-94.lcs,14,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-95.lcs,10,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-96.lcs,18,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-97.lcs,18,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-98.lcs,11,,,,,,,
../../misc_phd/input/lcs_instances/10-random-0-1-99.lcs,12,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-0.lcs,22,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-1.lcs,33,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-2.lcs,42,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-3.lcs,72,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-4.lcs,25,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-5.lcs,53,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-6.lcs,33,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-7.lcs,37,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-8.lcs,58,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-9.lcs,24,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-10.lcs,53,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-11.lcs,36,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-12.lcs,37,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-13.lcs,56,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-14.lcs,13,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-15.lcs,40,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-16.lcs,30,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-17.lcs,28,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-18.lcs,24,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-19.lcs,60,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-20.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-21.lcs,51,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-22.lcs,40,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-23.lcs,39,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-24.lcs,33,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-25.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-26.lcs,51,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-27.lcs,34,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-28.lcs,37,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-29.lcs,44,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-30.lcs,34,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-31.lcs,61,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-32.lcs,35,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-33.lcs,48,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-34.lcs,31,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-35.lcs,24,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-36.lcs,58,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-37.lcs,49,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-38.lcs,35,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-39.lcs,20,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-40.lcs,36,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-41.lcs,24,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-42.lcs,26,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-43.lcs,69,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-44.lcs,40,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-45.lcs,34,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-46.lcs,38,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-47.lcs,56,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-48.lcs,56,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-49.lcs,31,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-50.lcs,71,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-51.lcs,47,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-52.lcs,27,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-53.lcs,39,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-54.lcs,37,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-55.lcs,47,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-56.lcs,36,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-57.lcs,39,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-58.lcs,58,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-59.lcs,49,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-60.lcs,28,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-61.lcs,48,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-62.lcs,28,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-63.lcs,34,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-64.lcs,50,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-65.lcs,43,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-66.lcs,49,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-67.lcs,28,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-68.lcs,29,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-69.lcs,25,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-70.lcs,49,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-71.lcs,45,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-72.lcs,31,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-73.lcs,25,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-74.lcs,54,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-75.lcs,43,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-76.lcs,47,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-77.lcs,53,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-78.lcs,20,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-79.lcs,35,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-80.lcs,34,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-81.lcs,25,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-82.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-83.lcs,51,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-84.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-85.lcs,60,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-86.lcs,18,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-87.lcs,44,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-88.lcs,50,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-89.lcs,29,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-90.lcs,43,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-91.lcs,38,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-92.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-93.lcs,29,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-94.lcs,23,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-95.lcs,30,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-96.lcs,23,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-97.lcs,40,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-98.lcs,32,,,,,,,
../../misc_phd/input/lcs_instances/20-random-0-1-99.lcs,39,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-0.lcs,102,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-1.lcs,86,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-2.lcs,109,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-3.lcs,97,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-4.lcs,157,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-5.lcs,123,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-6.lcs,104,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-7.lcs,125,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-8.lcs,141,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-9.lcs,127,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-10.lcs,163,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-11.lcs,131,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-12.lcs,160,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-13.lcs,129,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-14.lcs,118,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-15.lcs,150,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-16.lcs,125,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-17.lcs,109,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-18.lcs,127,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-19.lcs,92,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-20.lcs,143,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-21.lcs,105,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-22.lcs,206,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-23.lcs,109,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-24.lcs,170,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-25.lcs,105,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-26.lcs,90,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-27.lcs,128,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-28.lcs,94,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-29.lcs,156,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-30.lcs,99,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-31.lcs,117,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-32.lcs,239,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-33.lcs,195,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-34.lcs,94,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-35.lcs,110,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-36.lcs,83,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-37.lcs,144,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-38.lcs,138,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-39.lcs,111,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-40.lcs,177,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-41.lcs,131,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-42.lcs,164,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-43.lcs,78,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-44.lcs,115,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-45.lcs,148,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-46.lcs,170,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-47.lcs,102,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-48.lcs,162,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-49.lcs,159,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-50.lcs,97,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-51.lcs,135,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-52.lcs,141,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-53.lcs,120,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-54.lcs,174,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-55.lcs,129,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-56.lcs,167,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-57.lcs,91,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-58.lcs,114,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-59.lcs,122,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-60.lcs,170,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-61.lcs,108,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-62.lcs,94,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-63.lcs,83,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-64.lcs,94,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-65.lcs,125,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-66.lcs,151,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-67.lcs,108,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-68.lcs,205,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-69.lcs,139,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-70.lcs,185,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-71.lcs,152,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-72.lcs,93,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-73.lcs,175,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-74.lcs,105,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-75.lcs,131,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-76.lcs,103,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-77.lcs,87,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-78.lcs,162,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-79.lcs,133,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-80.lcs,105,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-81.lcs,153,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-82.lcs,112,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-83.lcs,221,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-84.lcs,135,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-85.lcs,141,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-86.lcs,125,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-87.lcs,97,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-88.lcs,111,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-89.lcs,163,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-90.lcs,98,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-91.lcs,160,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-92.lcs,160,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-93.lcs,136,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-94.lcs,100,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-95.lcs,77,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-96.lcs,111,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-97.lcs,95,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-98.lcs,115,,,,,,,
../../misc_phd/input/lcs_instances/40-random-0-1-99.lcs,102,,,,,,,
